,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,legitimate
16280,1.006,0.003,-1.006,-0.005,4.714741,1
16281,0.994,0.008,-0.994,-0.016,4.716226,1
16282,1.009,-0.002,-1.009,-0.039,4.71268,1
16283,0.9900001,0.005,-0.9900001,-0.024,4.715833,1
16284,0.9960001,-0.003,-0.9960001,-0.032,4.714491,1
16285,1.008,-0.001,-1.008,0.011,4.71211,1
16286,1.004,-0.008,-1.004,-0.009000001,4.709784,1
16287,1.005,0.007,-1.005,-0.027,4.714335,1
16288,0.997,0.01,-0.997,0.004,4.720613,1
16289,1.004,-0.011,-1.004,0.023,4.716698,1
16290,0.9950001,0.001,-0.9950001,0.001,4.713858,1
16291,0.997,-0.001,-0.997,0.012,4.712793,1
16292,1.007,0.014,-1.007,0.003,4.717026,1
16293,1.003,-0.004,-1.003,0.03,4.710401,1
16294,1.004,-0.012,-1.004,0.037,4.708079,1
16295,0.997,0.003,-0.997,0.004,4.712695,1
16296,1.004,0.007,-1.004,0.014,4.716684,1
16297,1.005,-0.001,-1.005,0.025,4.71559,1
16298,1.006,0.002,-1.006,0.027,4.71491,1
16299,0.987,-0.009000001,-0.987,0.035,4.712007,1
16300,1.013,0.008,-1.013,0.01,4.716385,1
16301,1.002,-0.003,-1.002,-0.016,4.711668,1
16302,0.994,-0.005,-0.994,-0.006,4.710637,1
16303,1.005,0.012,-1.004,-0.006,4.721519,1
16304,0.9960001,-0.006,-0.9960001,0.008,4.716698,1
16305,1.005,0.008,-1.004,-0.013,4.7181,1
16306,1.009,-0.001,-1.009,0.012,4.713041,1
16307,1.0,0.004,-1.0,0.003,4.713813,1
16308,1.001,-0.001,-1.001,-0.017,4.712154,1
16309,0.993,0.004,-0.993,0.002,4.714318,1
16310,1.003,-0.003,-1.003,-0.003,4.712859,1
16311,0.998,-0.01,-0.998,0.015,4.704662,1
16312,1.001,-0.004,-1.0,0.024,4.705732,1
16313,1.015,0.007,-1.015,0.011,4.713754,1
16314,0.987,0.003,-0.987,0.006,4.714967,1
16315,0.9580001,-0.002,-0.9580001,0.004,4.71397,1
16316,0.9450001,0.001,-0.9450001,0.012,4.7136,1
16317,0.928,-0.002,-0.928,0.022,4.71242,1
16318,0.909,0.001,-0.909,-0.011,4.712674,1
16319,0.8880001,0.0,-0.8880001,0.007,4.712438,1
16320,0.873,0.0,-0.873,0.002,4.712515,1
16321,0.8430001,0.003,-0.8420001,0.011,4.7149,1
16322,0.832,0.009000001,-0.832,-0.024,4.718342,1
16323,0.7970001,-0.002,-0.7970001,-0.039,4.715271,1
16324,0.786,0.003,-0.786,0.002,4.716378,1
16325,0.774,-0.003,-0.774,0.027,4.714341,1
16326,0.753,-0.002,-0.753,0.005,4.711542,1
16327,0.7270001,0.007,-0.7270001,0.012,4.717611,1
16328,0.706,0.004,-0.706,0.011,4.717805,1
16329,0.688,-0.001,-0.688,0.039,4.712725,1
16330,0.6720001,-0.007,-0.6720001,0.043,4.710569,1
16331,0.652,0.001,-0.652,-0.006,4.712759,1
16332,0.626,0.001,-0.626,0.007,4.713858,1
16333,0.613,-0.001,-0.613,0.039,4.713137,1
16334,0.575,-0.009000001,-0.575,0.055,4.70089,1
16335,0.577,-0.003,-0.577,0.045,4.702806,1
16336,0.546,0.003,-0.546,0.042,4.708632,1
16337,0.535,-0.002,-0.535,0.016,4.708564,1
16338,0.508,0.005,-0.508,0.055,4.711514,1
16339,0.483,-0.007,-0.483,0.042,4.702701,1
16340,0.473,-0.008,-0.473,0.016,4.699203,1
16341,0.438,0.0,-0.438,0.005,4.703559,1
16342,0.429,0.003,-0.429,0.008,4.716164,1
16343,0.41,-0.003,-0.41,0.017,4.713534,1
16344,0.393,-0.003,-0.393,0.013,4.708608,1
16345,0.362,-0.002,-0.361,-0.003,4.707711,1
16346,0.339,0.0,-0.339,-0.005,4.708952,1
16347,0.332,0.008,-0.332,0.002,4.728494,1
16348,0.312,-0.001,-0.312,-0.003,4.722619,1
16349,0.28,0.008,-0.28,0.011,4.729969,1
16350,0.275,-0.01,-0.275,0.016,4.689873,1
16351,0.24,0.01,-0.24,0.011,4.707972,1
16352,0.23,0.008,-0.23,0.019,4.738795,1
16353,0.208,-0.005,-0.208,0.008,4.722981,1
16354,0.189,-0.002,-0.189,0.027,4.722981,1
16355,0.17,0.005,-0.17,0.036,4.732484,1
16356,0.145,0.003,-0.145,0.062,4.732484,1
